antecedents,consequents,support,confidence,lift
{np.str_('Fries')},{np.str_('Salad')},0.161,0.64,1.17
{np.str_('Burger')},{np.str_('Pizza')},0.29,0.8,1.21
{np.str_('Soup')},{np.str_('Pasta')},0.017,0.17,0.87
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Pizza')},0.224,0.15,1.18
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Salad')},0.208,0.59,1.4
{np.str_('Ketchup')},{np.str_('Burger')},0.169,0.14,1.44
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('Sandwich')},0.241,0.43,1.21
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Ketchup')},0.208,0.18,1.47
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('IceCream')},0.026,0.71,1.04
{np.str_('Sandwich')},{np.str_('Pizza')},0.174,0.43,1.21
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Soup')},0.145,0.68,0.98
{np.str_('Pizza')},{np.str_('Fries')},0.279,0.57,1.39
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.097,0.36,0.81
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('IceCream')},0.268,0.39,1.14
{np.str_('Coke')},{np.str_('Soup')},0.286,0.38,1.11
{np.str_('Burger')},{np.str_('Pasta')},0.137,0.12,1.22
{np.str_('Fries')},{np.str_('Burger')},0.199,0.36,1.21
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Ketchup')},0.215,0.83,1.24
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('Burger')},0.248,0.38,1.37
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('Burger')},0.215,0.56,0.88
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Pasta')},0.22,0.25,1.38
{np.str_('Sandwich')},{np.str_('Salad')},0.115,0.49,1.39
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Sandwich')},0.232,0.32,1.03
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Pasta')},0.22,0.11,0.85
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Burger')},0.212,0.53,1.06
{np.str_('Soup')},{np.str_('Sandwich')},0.157,0.38,1.37
{np.str_('Ketchup')},{np.str_('Sandwich')},0.247,0.43,1.2
{np.str_('Ketchup')},{np.str_('Salad')},0.22,0.29,1.39
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Salad')},0.015,0.84,1.15
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('IceCream')},0.07,0.32,0.81
{np.str_('IceCream')},{np.str_('Ketchup')},0.051,0.65,1.17
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('Soup')},0.266,0.71,1.39
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Ketchup')},0.252,0.42,1.34
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.113,0.38,0.91
{np.str_('Ketchup')},{np.str_('Pizza')},0.226,0.64,1.14
{np.str_('Pasta')},{np.str_('Sandwich')},0.29,0.59,0.84
"{np.str_('IceCream'), np.str_('Soup')}",{np.str_('Pizza')},0.154,0.23,0.97
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Pizza')},0.272,0.15,1.4
{np.str_('Pizza')},{np.str_('Ketchup')},0.153,0.84,0.92
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Ketchup')},0.043,0.38,1.04
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('Burger')},0.114,0.77,1.35
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('IceCream')},0.221,0.57,1.29
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Fries')},0.098,0.61,1.21
{np.str_('Pizza')},{np.str_('Salad')},0.259,0.77,1.37
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Ketchup')},0.269,0.33,1.28
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Pasta')},0.127,0.17,1.38
{np.str_('Burger')},{np.str_('Pizza')},0.147,0.64,1.47
{np.str_('Ketchup')},{np.str_('Coke')},0.299,0.89,0.97
"{np.str_('Soup'), np.str_('IceCream')}",{np.str_('Coke')},0.252,0.46,1.49
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Soup')},0.071,0.23,1.41
{np.str_('Pizza')},{np.str_('Ketchup')},0.037,0.61,1.21
"{np.str_('Ketchup'), np.str_('Pasta')}",{np.str_('Pizza')},0.034,0.12,1.17
{np.str_('Ketchup')},{np.str_('Pasta')},0.243,0.6,1.29
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('IceCream')},0.227,0.19,1.46
{np.str_('Fries')},{np.str_('Pasta')},0.28,0.28,1.45
"{np.str_('Coke'), np.str_('Burger')}",{np.str_('Soup')},0.011,0.48,0.83
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Pizza')},0.05,0.88,0.82
{np.str_('Burger')},{np.str_('Pizza')},0.153,0.58,1.39
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Pasta')},0.214,0.56,1.12
{np.str_('Coke')},{np.str_('Soup')},0.124,0.57,0.99
{np.str_('Salad')},{np.str_('Pasta')},0.108,0.34,0.83
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Pasta')},0.064,0.79,1.43
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Fries')},0.103,0.62,1.16
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('Sandwich')},0.056,0.31,1.47
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Burger')},0.22,0.76,1.22
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('Sandwich')},0.017,0.21,1.4
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Burger')},0.156,0.39,0.89
{np.str_('Burger')},{np.str_('Salad')},0.235,0.68,1.47
{np.str_('IceCream')},{np.str_('Salad')},0.016,0.53,1.34
{np.str_('Salad')},{np.str_('Ketchup')},0.181,0.76,0.97
{np.str_('Ketchup')},{np.str_('Soup')},0.093,0.78,1.11
{np.str_('Coke')},{np.str_('Soup')},0.092,0.56,1.34
{np.str_('Pizza')},{np.str_('Ketchup')},0.116,0.17,1.25
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Burger')},0.017,0.34,0.95
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Pasta')},0.144,0.29,0.86
{np.str_('Pizza')},{np.str_('Coke')},0.16,0.42,1.12
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Pizza')},0.279,0.56,1.11
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Sandwich')},0.055,0.41,0.96
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Pasta')},0.112,0.78,1.21
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Soup')},0.276,0.83,1.13
{np.str_('Fries')},{np.str_('Pasta')},0.18,0.3,1.39
{np.str_('Ketchup')},{np.str_('Coke')},0.263,0.26,1.49
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Soup')},0.285,0.27,1.13
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Fries')},0.143,0.47,1.08
{np.str_('IceCream')},{np.str_('Coke')},0.139,0.31,1.08
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Fries')},0.187,0.67,1.13
{np.str_('Sandwich')},{np.str_('Coke')},0.148,0.34,1.38
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Fries')},0.021,0.49,1.26
{np.str_('Salad')},{np.str_('Sandwich')},0.133,0.8,1.28
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Ketchup')},0.154,0.27,1.17
{np.str_('Ketchup')},{np.str_('IceCream')},0.079,0.77,1.48
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Salad')},0.022,0.68,1.0
{np.str_('Ketchup')},{np.str_('Burger')},0.17,0.17,0.87
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Soup')},0.111,0.52,0.96
{np.str_('Ketchup')},{np.str_('Pizza')},0.064,0.15,1.02
{np.str_('IceCream')},{np.str_('Sandwich')},0.166,0.44,1.29
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Salad')},0.245,0.32,0.86
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Burger')},0.102,0.53,1.04
{np.str_('Salad')},{np.str_('Sandwich')},0.052,0.23,1.36
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Soup')},0.011,0.46,1.41
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Pizza')},0.221,0.89,1.47
{np.str_('Ketchup')},{np.str_('Pizza')},0.274,0.49,0.98
{np.str_('Ketchup')},{np.str_('Sandwich')},0.032,0.8,1.42
{np.str_('Ketchup')},{np.str_('Burger')},0.236,0.48,1.16
{np.str_('Sandwich')},{np.str_('Pasta')},0.113,0.44,1.07
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('Coke')},0.069,0.46,0.99
{np.str_('Coke')},{np.str_('Fries')},0.182,0.76,1.01
{np.str_('Fries')},{np.str_('Burger')},0.056,0.87,1.22
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Coke')},0.196,0.26,1.23
{np.str_('Burger')},{np.str_('Sandwich')},0.115,0.66,1.43
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Fries')},0.157,0.38,0.86
{np.str_('Fries')},{np.str_('Burger')},0.059,0.22,1.49
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('IceCream')},0.219,0.17,1.05
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Pizza')},0.155,0.16,1.16
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Sandwich')},0.282,0.17,0.85
{np.str_('IceCream')},{np.str_('Soup')},0.024,0.54,0.98
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Sandwich')},0.255,0.39,0.92
{np.str_('Coke')},{np.str_('Soup')},0.232,0.82,1.41
{np.str_('Fries')},{np.str_('Sandwich')},0.08,0.83,1.23
{np.str_('Salad')},{np.str_('IceCream')},0.185,0.65,0.86
{np.str_('Coke')},{np.str_('IceCream')},0.264,0.29,1.14
{np.str_('Burger')},{np.str_('Fries')},0.132,0.5,0.87
{np.str_('Burger')},{np.str_('IceCream')},0.092,0.44,0.94
{np.str_('Pizza')},{np.str_('Ketchup')},0.24,0.23,0.92
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Coke')},0.222,0.48,1.31
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Burger')},0.062,0.39,0.97
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('IceCream')},0.273,0.43,1.39
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Ketchup')},0.248,0.55,0.99
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Salad')},0.19,0.62,0.91
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Sandwich')},0.036,0.88,0.91
{np.str_('Sandwich')},{np.str_('Coke')},0.211,0.7,1.35
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Burger')},0.066,0.89,1.09
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('Ketchup')},0.132,0.75,1.1
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('Burger')},0.103,0.84,0.85
"{np.str_('Ketchup'), np.str_('Pasta')}",{np.str_('Coke')},0.278,0.77,0.94
{np.str_('Salad')},{np.str_('Coke')},0.131,0.19,0.81
{np.str_('Pizza')},{np.str_('Coke')},0.122,0.67,1.36
{np.str_('IceCream')},{np.str_('Pasta')},0.137,0.7,1.16
"{np.str_('Fries'), np.str_('Pizza')}",{np.str_('Sandwich')},0.246,0.88,1.14
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Fries')},0.159,0.83,1.05
{np.str_('Pasta')},{np.str_('Salad')},0.108,0.44,1.45
{np.str_('Soup')},{np.str_('Fries')},0.259,0.23,1.33
{np.str_('Pizza')},{np.str_('IceCream')},0.206,0.38,1.04
{np.str_('Salad')},{np.str_('Burger')},0.057,0.19,1.45
{np.str_('Soup')},{np.str_('Pizza')},0.287,0.5,1.16
{np.str_('Soup')},{np.str_('IceCream')},0.088,0.14,0.91
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Pasta')},0.207,0.69,0.93
{np.str_('Ketchup')},{np.str_('IceCream')},0.06,0.15,1.19
{np.str_('Pizza')},{np.str_('IceCream')},0.047,0.37,0.96
{np.str_('Coke')},{np.str_('Sandwich')},0.14,0.1,1.46
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('Ketchup')},0.079,0.19,1.15
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Sandwich')},0.114,0.87,1.11
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Fries')},0.095,0.82,1.36
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Coke')},0.236,0.22,1.22
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Pizza')},0.171,0.85,1.17
{np.str_('IceCream')},{np.str_('Pasta')},0.09,0.69,1.11
{np.str_('Salad')},{np.str_('Coke')},0.022,0.36,1.18
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.058,0.86,1.12
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('Soup')},0.045,0.45,1.24
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Ketchup')},0.024,0.13,1.25
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('IceCream')},0.153,0.26,1.05
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('Pasta')},0.164,0.88,1.17
{np.str_('Pizza')},{np.str_('Sandwich')},0.2,0.4,1.45
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Coke')},0.25,0.67,1.44
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Ketchup')},0.235,0.34,0.81
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Fries')},0.155,0.59,1.02
{np.str_('Salad')},{np.str_('IceCream')},0.15,0.86,1.41
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Salad')},0.116,0.13,1.15
{np.str_('Soup')},{np.str_('IceCream')},0.171,0.25,0.83
{np.str_('Pasta')},{np.str_('Ketchup')},0.193,0.23,1.28
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Coke')},0.285,0.16,1.34
{np.str_('Ketchup')},{np.str_('Pizza')},0.289,0.4,1.36
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Burger')},0.194,0.53,1.27
{np.str_('Pasta')},{np.str_('Pizza')},0.28,0.35,0.93
{np.str_('Fries')},{np.str_('Pizza')},0.238,0.14,0.85
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Pizza')},0.239,0.13,0.82
{np.str_('Soup')},{np.str_('Pasta')},0.223,0.37,0.9
{np.str_('Pasta')},{np.str_('IceCream')},0.027,0.25,0.84
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Sandwich')},0.107,0.65,1.1
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Pizza')},0.046,0.12,0.86
"{np.str_('Pizza'), np.str_('Fries')}",{np.str_('Burger')},0.267,0.17,1.2
{np.str_('Coke')},{np.str_('Salad')},0.277,0.39,1.45
{np.str_('Pasta')},{np.str_('IceCream')},0.032,0.33,1.47
{np.str_('Salad')},{np.str_('Ketchup')},0.122,0.55,1.46
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('Coke')},0.113,0.26,1.05
{np.str_('Soup')},{np.str_('Salad')},0.099,0.84,1.01
{np.str_('Burger')},{np.str_('IceCream')},0.203,0.86,1.16
{np.str_('Soup')},{np.str_('Burger')},0.278,0.49,1.1
{np.str_('Coke')},{np.str_('Salad')},0.057,0.73,1.16
{np.str_('Coke')},{np.str_('Salad')},0.052,0.6,0.96
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Burger')},0.028,0.54,1.01
{np.str_('IceCream')},{np.str_('Sandwich')},0.109,0.52,1.31
{np.str_('Coke')},{np.str_('Ketchup')},0.111,0.23,1.27
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Ketchup')},0.183,0.57,0.83
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Soup')},0.044,0.8,0.99
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('Pasta')},0.296,0.64,1.45
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Fries')},0.018,0.19,1.48
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('IceCream')},0.179,0.4,0.9
{np.str_('Coke')},{np.str_('Pizza')},0.016,0.19,1.3
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Pasta')},0.092,0.33,1.36
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Soup')},0.153,0.84,1.17
{np.str_('Sandwich')},{np.str_('Coke')},0.185,0.39,1.3
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Salad')},0.029,0.16,1.22
{np.str_('Pasta')},{np.str_('Soup')},0.129,0.19,1.37
"{np.str_('Pasta'), np.str_('IceCream')}",{np.str_('Ketchup')},0.222,0.33,1.03
{np.str_('Pasta')},{np.str_('Coke')},0.138,0.62,1.03
{np.str_('Fries')},{np.str_('IceCream')},0.077,0.45,1.11
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Burger')},0.198,0.29,0.99
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Coke')},0.197,0.52,1.3
{np.str_('Sandwich')},{np.str_('Salad')},0.192,0.25,1.22
{np.str_('Fries')},{np.str_('Soup')},0.057,0.85,1.1
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('IceCream')},0.144,0.13,0.96
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Ketchup')},0.206,0.47,1.33
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('IceCream')},0.195,0.69,0.82
{np.str_('Pizza')},{np.str_('Sandwich')},0.287,0.44,0.84
{np.str_('Sandwich')},{np.str_('IceCream')},0.021,0.51,1.14
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Pizza')},0.161,0.83,1.26
{np.str_('IceCream')},{np.str_('Soup')},0.021,0.86,1.05
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Ketchup')},0.224,0.16,1.47
"{np.str_('Fries'), np.str_('Pizza')}",{np.str_('IceCream')},0.151,0.52,1.46
{np.str_('Coke')},{np.str_('Fries')},0.051,0.4,1.3
{np.str_('Ketchup')},{np.str_('Coke')},0.031,0.47,0.99
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Salad')},0.274,0.73,1.39
{np.str_('Coke')},{np.str_('Sandwich')},0.199,0.42,1.23
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Soup')},0.151,0.29,1.27
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Salad')},0.256,0.66,1.48
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Coke')},0.214,0.76,1.34
"{np.str_('Pasta'), np.str_('IceCream')}",{np.str_('Coke')},0.166,0.64,1.05
{np.str_('Burger')},{np.str_('Ketchup')},0.226,0.2,0.82
{np.str_('Ketchup')},{np.str_('Sandwich')},0.032,0.7,1.15
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.045,0.4,1.35
{np.str_('Burger')},{np.str_('Coke')},0.123,0.61,0.88
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('Coke')},0.244,0.11,1.34
{np.str_('Sandwich')},{np.str_('Burger')},0.114,0.53,1.1
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Salad')},0.178,0.5,0.85
{np.str_('IceCream')},{np.str_('Burger')},0.228,0.11,1.44
{np.str_('Burger')},{np.str_('Ketchup')},0.237,0.19,0.83
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Soup')},0.014,0.77,1.47
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Fries')},0.11,0.88,1.35
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Salad')},0.036,0.13,1.41
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('IceCream')},0.29,0.61,0.98
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Pizza')},0.253,0.44,1.38
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('IceCream')},0.28,0.26,1.32
{np.str_('Soup')},{np.str_('Ketchup')},0.284,0.12,1.36
{np.str_('Pizza')},{np.str_('Sandwich')},0.217,0.55,1.37
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Soup')},0.255,0.57,1.43
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Pasta')},0.094,0.11,1.46
{np.str_('Pizza')},{np.str_('Burger')},0.081,0.77,1.23
{np.str_('Ketchup')},{np.str_('Burger')},0.079,0.19,0.84
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('Coke')},0.098,0.65,1.1
{np.str_('IceCream')},{np.str_('Sandwich')},0.096,0.72,1.01
{np.str_('Sandwich')},{np.str_('Burger')},0.214,0.16,1.47
{np.str_('Pizza')},{np.str_('Salad')},0.167,0.21,1.42
{np.str_('Pizza')},{np.str_('Salad')},0.291,0.14,0.84
{np.str_('Fries')},{np.str_('Pizza')},0.205,0.71,1.15
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('Fries')},0.07,0.8,1.35
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Pasta')},0.073,0.77,1.35
{np.str_('Pasta')},{np.str_('Burger')},0.162,0.74,0.8
{np.str_('Burger')},{np.str_('IceCream')},0.044,0.39,1.21
{np.str_('Ketchup')},{np.str_('Burger')},0.144,0.52,1.16
{np.str_('Sandwich')},{np.str_('Soup')},0.116,0.38,1.22
"{np.str_('Pasta'), np.str_('IceCream')}",{np.str_('Sandwich')},0.119,0.62,1.46
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Soup')},0.045,0.61,1.43
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Salad')},0.064,0.38,1.13
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('Sandwich')},0.118,0.24,1.33
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Pasta')},0.082,0.72,1.24
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Pizza')},0.288,0.87,1.32
"{np.str_('Ketchup'), np.str_('Pasta')}",{np.str_('Fries')},0.036,0.83,0.84
{np.str_('Soup')},{np.str_('Sandwich')},0.1,0.8,1.12
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('IceCream')},0.087,0.56,0.88
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Salad')},0.079,0.69,1.12
{np.str_('Fries')},{np.str_('Pasta')},0.247,0.43,1.05
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Burger')},0.127,0.28,0.9
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Fries')},0.052,0.66,0.88
{np.str_('Ketchup')},{np.str_('Fries')},0.033,0.27,1.24
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Soup')},0.042,0.72,0.88
{np.str_('Fries')},{np.str_('Coke')},0.235,0.27,1.26
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('Fries')},0.175,0.51,1.0
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Salad')},0.196,0.31,0.97
{np.str_('IceCream')},{np.str_('Salad')},0.268,0.82,1.13
{np.str_('Fries')},{np.str_('Sandwich')},0.2,0.7,0.96
{np.str_('Pasta')},{np.str_('Coke')},0.035,0.51,0.9
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Pizza')},0.032,0.78,1.47
{np.str_('IceCream')},{np.str_('Pizza')},0.041,0.64,0.81
{np.str_('Burger')},{np.str_('Fries')},0.163,0.4,1.13
{np.str_('Fries')},{np.str_('IceCream')},0.022,0.39,0.86
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Pasta')},0.04,0.85,0.89
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.045,0.6,1.35
{np.str_('Burger')},{np.str_('Salad')},0.254,0.17,1.22
{np.str_('Pasta')},{np.str_('Soup')},0.041,0.48,1.07
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('IceCream')},0.073,0.72,1.18
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('IceCream')},0.1,0.72,0.8
{np.str_('Salad')},{np.str_('IceCream')},0.22,0.73,1.07
{np.str_('Pizza')},{np.str_('Salad')},0.29,0.37,1.11
{np.str_('Pasta')},{np.str_('Pizza')},0.22,0.34,1.12
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Ketchup')},0.118,0.46,0.97
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Salad')},0.291,0.39,0.88
{np.str_('Salad')},{np.str_('Pizza')},0.075,0.18,0.95
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Fries')},0.299,0.34,1.31
"{np.str_('Pizza'), np.str_('Fries')}",{np.str_('IceCream')},0.14,0.83,1.46
{np.str_('Coke')},{np.str_('Pizza')},0.29,0.59,0.98
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('Pasta')},0.099,0.26,1.22
{np.str_('Ketchup')},{np.str_('IceCream')},0.016,0.26,1.0
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Fries')},0.084,0.34,1.21
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Fries')},0.245,0.43,0.92
"{np.str_('Pasta'), np.str_('IceCream')}",{np.str_('Ketchup')},0.141,0.2,1.35
{np.str_('Ketchup')},{np.str_('IceCream')},0.107,0.61,1.28
{np.str_('Fries')},{np.str_('Pizza')},0.034,0.69,1.29
{np.str_('Salad')},{np.str_('Ketchup')},0.118,0.17,0.8
{np.str_('Burger')},{np.str_('IceCream')},0.036,0.82,1.41
{np.str_('Pasta')},{np.str_('Soup')},0.124,0.21,0.99
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Fries')},0.235,0.74,1.0
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Soup')},0.209,0.83,1.31
{np.str_('Pizza')},{np.str_('Burger')},0.03,0.43,1.07
{np.str_('Fries')},{np.str_('Coke')},0.137,0.48,1.25
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('IceCream')},0.168,0.6,1.0
{np.str_('Soup')},{np.str_('Salad')},0.202,0.86,1.18
{np.str_('Fries')},{np.str_('Pizza')},0.184,0.65,1.2
{np.str_('Sandwich')},{np.str_('Pasta')},0.122,0.54,0.87
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('Burger')},0.1,0.74,1.42
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Fries')},0.048,0.35,1.07
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Fries')},0.065,0.34,0.87
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Fries')},0.171,0.1,1.15
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('Pasta')},0.258,0.85,1.19
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('Pizza')},0.156,0.61,0.99
{np.str_('Pasta')},{np.str_('Sandwich')},0.191,0.81,0.83
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.112,0.59,1.04
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Sandwich')},0.234,0.4,1.3
{np.str_('Ketchup')},{np.str_('Burger')},0.187,0.58,0.9
{np.str_('Ketchup')},{np.str_('Pizza')},0.255,0.77,1.03
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Pizza')},0.179,0.3,0.82
